cpe_id_pk,cpe_version,part,vendor,product,version,update,edition,sw_edition,target_sw,target_hw,language,other,initial_cpe
1,2.3,o,linux,linux_kernel,2.6.20.1,,,,,,,,cpe:2.3:o:linux:linux_kernel:2.6.20.1:*:*:*:*:*:*:*
2,2.3,o,freebsd,freebsd,4.3,releng,,,,,,,cpe:2.3:o:freebsd:freebsd:4.3:releng:*:*:*:*:*:*
3,2.3,o,freebsd,freebsd,4.1.1,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:4.1.1:stable:*:*:*:*:*:*
4,2.3,o,freebsd,freebsd,4.6,releng,,,,,,,cpe:2.3:o:freebsd:freebsd:4.6:releng:*:*:*:*:*:*
5,2.3,o,freebsd,freebsd,3.1,,,,,,,,cpe:2.3:o:freebsd:freebsd:3.1:*:*:*:*:*:*:*
6,2.3,o,freebsd,freebsd,4.1.1,release,,,,,,,cpe:2.3:o:freebsd:freebsd:4.1.1:release:*:*:*:*:*:*
7,2.3,o,freebsd,freebsd,3.0,releng,,,,,,,cpe:2.3:o:freebsd:freebsd:3.0:releng:*:*:*:*:*:*
8,2.3,o,freebsd,freebsd,5.1,releng,,,,,,,cpe:2.3:o:freebsd:freebsd:5.1:releng:*:*:*:*:*:*
9,2.3,o,freebsd,freebsd,4.4,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:4.4:stable:*:*:*:*:*:*
10,2.3,o,freebsd,freebsd,4.6,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:4.6:stable:*:*:*:*:*:*
11,2.3,o,freebsd,freebsd,4.8,release_p6,,,,,,,cpe:2.3:o:freebsd:freebsd:4.8:release_p6:*:*:*:*:*:*
12,2.3,o,freebsd,freebsd,4.6,release,,,,,,,cpe:2.3:o:freebsd:freebsd:4.6:release:*:*:*:*:*:*
13,2.3,o,freebsd,freebsd,5.1,release_p5,,,,,,,cpe:2.3:o:freebsd:freebsd:5.1:release_p5:*:*:*:*:*:*
14,2.3,o,freebsd,freebsd,4.3,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:4.3:stable:*:*:*:*:*:*
15,2.3,o,freebsd,freebsd,4.7,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:stable:*:*:*:*:*:*
16,2.3,o,freebsd,freebsd,5.0,release_p14,,,,,,,cpe:2.3:o:freebsd:freebsd:5.0:release_p14:*:*:*:*:*:*
17,2.3,o,freebsd,freebsd,3.5,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:3.5:stable:*:*:*:*:*:*
18,2.3,o,freebsd,freebsd,4.3,release_p38,,,,,,,cpe:2.3:o:freebsd:freebsd:4.3:release_p38:*:*:*:*:*:*
19,2.3,o,freebsd,freebsd,4.5,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:stable:*:*:*:*:*:*
20,2.3,o,freebsd,freebsd,4.6,release_p20,,,,,,,cpe:2.3:o:freebsd:freebsd:4.6:release_p20:*:*:*:*:*:*
21,2.3,o,freebsd,freebsd,4.5,release,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:release:*:*:*:*:*:*
22,2.3,o,freebsd,freebsd,5.0,releng,,,,,,,cpe:2.3:o:freebsd:freebsd:5.0:releng:*:*:*:*:*:*
23,2.3,o,freebsd,freebsd,4.3,release,,,,,,,cpe:2.3:o:freebsd:freebsd:4.3:release:*:*:*:*:*:*
24,2.3,o,freebsd,freebsd,4.7,releng,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:releng:*:*:*:*:*:*
25,2.3,o,freebsd,freebsd,4.2,stable,,,,,,,cpe:2.3:o:freebsd:freebsd:4.2:stable:*:*:*:*:*:*
26,2.3,o,freebsd,freebsd,4.5,,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:*:*:*:*:*:*:*
27,2.3,o,freebsd,freebsd,4.5,-,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:-:*:*:*:*:*:*
28,2.3,o,freebsd,freebsd,4.5,p1,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p1:*:*:*:*:*:*
29,2.3,o,freebsd,freebsd,4.5,p20,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p20:*:*:*:*:*:*
30,2.3,o,freebsd,freebsd,4.5,p31,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p31:*:*:*:*:*:*
31,2.3,o,freebsd,freebsd,4.5,p32,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p32:*:*:*:*:*:*
32,2.3,o,freebsd,freebsd,4.5,p34,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p34:*:*:*:*:*:*
33,2.3,o,freebsd,freebsd,4.5,p35,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p35:*:*:*:*:*:*
34,2.3,o,freebsd,freebsd,4.5,p36,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p36:*:*:*:*:*:*
35,2.3,o,freebsd,freebsd,4.5,p37,,,,,,,cpe:2.3:o:freebsd:freebsd:4.5:p37:*:*:*:*:*:*
36,2.3,o,freebsd,freebsd,3.5.1,,,,,,,,cpe:2.3:o:freebsd:freebsd:3.5.1:*:*:*:*:*:*:*
37,2.3,o,freebsd,freebsd,4.4,release_p42,,,,,,,cpe:2.3:o:freebsd:freebsd:4.4:release_p42:*:*:*:*:*:*
38,2.3,o,freebsd,freebsd,4.7,,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:*:*:*:*:*:*:*
39,2.3,o,freebsd,freebsd,4.7,-,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:-:*:*:*:*:*:*
40,2.3,o,freebsd,freebsd,4.7,p13,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p13:*:*:*:*:*:*
41,2.3,o,freebsd,freebsd,4.7,p16,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p16:*:*:*:*:*:*
42,2.3,o,freebsd,freebsd,4.7,p17,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p17:*:*:*:*:*:*
43,2.3,o,freebsd,freebsd,4.7,p19,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p19:*:*:*:*:*:*
44,2.3,o,freebsd,freebsd,4.7,p20,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p20:*:*:*:*:*:*
45,2.3,o,freebsd,freebsd,4.7,p21,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p21:*:*:*:*:*:*
46,2.3,o,freebsd,freebsd,4.7,p22,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p22:*:*:*:*:*:*
47,2.3,o,freebsd,freebsd,4.7,p23,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p23:*:*:*:*:*:*
48,2.3,o,freebsd,freebsd,4.7,p24,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p24:*:*:*:*:*:*
49,2.3,o,freebsd,freebsd,4.7,p25,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p25:*:*:*:*:*:*
50,2.3,o,freebsd,freebsd,4.7,p26,,,,,,,cpe:2.3:o:freebsd:freebsd:4.7:p26:*:*:*:*:*:*
