cve_id_pk,cve_id
1,CVE-2004-0001
2,CVE-2004-0002
3,CVE-2004-0004
4,CVE-2004-0005
5,CVE-2004-0006
6,CVE-2004-0007
7,CVE-2004-0008
8,CVE-2004-0009
9,CVE-2004-0010
10,CVE-2004-0011
11,CVE-2004-0013
12,CVE-2004-0014
13,CVE-2004-0015
14,CVE-2004-0016
15,CVE-2004-0017
16,CVE-2004-0028
17,CVE-2004-0029
18,CVE-2004-0030
19,CVE-2004-0031
20,CVE-2004-0032
21,CVE-2004-0033
22,CVE-2004-0034
23,CVE-2004-0035
24,CVE-2004-0036
25,CVE-2004-0037
26,CVE-2004-0038
27,CVE-2004-0039
28,CVE-2004-0040
29,CVE-2004-0041
30,CVE-2004-0042
31,CVE-2004-0043
32,CVE-2004-0044
33,CVE-2004-0045
34,CVE-2004-0046
35,CVE-2004-0047
36,CVE-2004-0049
37,CVE-2004-0050
38,CVE-2004-0051
39,CVE-2004-0052
40,CVE-2004-0053
41,CVE-2004-0054
42,CVE-2004-0055
43,CVE-2004-0056
44,CVE-2004-0057
45,CVE-2004-0059
46,CVE-2004-0060
47,CVE-2004-0061
48,CVE-2004-0062
49,CVE-2004-0063
50,CVE-2004-0064
51,CVE-2004-0065
52,CVE-2004-0066
53,CVE-2004-0067
54,CVE-2004-0068
55,CVE-2004-0069
56,CVE-2004-0070
57,CVE-2004-0072
58,CVE-2004-0073
59,CVE-2004-0074
60,CVE-2004-0075
61,CVE-2004-0077
62,CVE-2004-0078
63,CVE-2004-0079
64,CVE-2004-0080
65,CVE-2004-0081
66,CVE-2004-0082
67,CVE-2004-0083
68,CVE-2004-0084
69,CVE-2004-0085
70,CVE-2004-0086
71,CVE-2004-0087
72,CVE-2004-0088
73,CVE-2004-0089
74,CVE-2004-0090
75,CVE-2004-0091
76,CVE-2004-0092
77,CVE-2004-0093
78,CVE-2004-0094
79,CVE-2004-0095
80,CVE-2004-0096
81,CVE-2004-0097
82,CVE-2004-0099
83,CVE-2004-0103
84,CVE-2004-0104
85,CVE-2004-0105
86,CVE-2004-0106
87,CVE-2004-0107
88,CVE-2004-0108
89,CVE-2004-0109
90,CVE-2004-0110
91,CVE-2004-0111
92,CVE-2004-0112
93,CVE-2004-0113
94,CVE-2004-0114
95,CVE-2004-0115
96,CVE-2004-0116
97,CVE-2004-0117
98,CVE-2004-0118
99,CVE-2004-0119
100,CVE-2004-0120
101,CVE-2004-0121
102,CVE-2004-0122
103,CVE-2004-0123
104,CVE-2004-0124
105,CVE-2004-0125
106,CVE-2004-0126
107,CVE-2004-0127
108,CVE-2004-0128
109,CVE-2004-0129
110,CVE-2004-0130
111,CVE-2004-0131
112,CVE-2004-0132
113,CVE-2004-0133
114,CVE-2004-0134
115,CVE-2004-0135
116,CVE-2004-0136
117,CVE-2004-0137
118,CVE-2004-0138
119,CVE-2004-0139
120,CVE-2004-0143
121,CVE-2004-0148
122,CVE-2004-0149
123,CVE-2004-0151
124,CVE-2004-0152
125,CVE-2004-0153
126,CVE-2004-0154
127,CVE-2004-0155
128,CVE-2004-0156
129,CVE-2004-0157
130,CVE-2004-0158
131,CVE-2004-0159
132,CVE-2004-0160
133,CVE-2004-0161
134,CVE-2004-0162
135,CVE-2004-0163
136,CVE-2004-0164
137,CVE-2004-0165
138,CVE-2004-0166
139,CVE-2004-0167
140,CVE-2004-0168
141,CVE-2004-0169
142,CVE-2004-0171
143,CVE-2004-0172
144,CVE-2004-0173
145,CVE-2004-0175
146,CVE-2004-0176
147,CVE-2004-0177
148,CVE-2004-0178
149,CVE-2004-0179
150,CVE-2004-0180
151,CVE-2004-0181
152,CVE-2004-0182
153,CVE-2004-0183
154,CVE-2004-0184
155,CVE-2004-0185
156,CVE-2004-0186
157,CVE-2004-0188
158,CVE-2004-0189
159,CVE-2004-0190
160,CVE-2004-0191
161,CVE-2004-0192
162,CVE-2004-0193
163,CVE-2004-0194
164,CVE-2004-0197
165,CVE-2004-0199
166,CVE-2004-0200
167,CVE-2004-0201
168,CVE-2004-0202
169,CVE-2004-0203
170,CVE-2004-0204
171,CVE-2004-0205
172,CVE-2004-0206
173,CVE-2004-0207
174,CVE-2004-0208
175,CVE-2004-0209
176,CVE-2004-0210
177,CVE-2004-0211
178,CVE-2004-0212
179,CVE-2004-0213
180,CVE-2004-0214
181,CVE-2004-0215
182,CVE-2004-0216
183,CVE-2004-0218
184,CVE-2004-0219
185,CVE-2004-0220
186,CVE-2004-0221
187,CVE-2004-0222
188,CVE-2004-0224
189,CVE-2004-0226
190,CVE-2004-0227
191,CVE-2004-0228
192,CVE-2004-0229
193,CVE-2004-0230
194,CVE-2004-0231
195,CVE-2004-0232
196,CVE-2004-0233
197,CVE-2004-0234
198,CVE-2004-0235
199,CVE-2004-0236
200,CVE-2004-0237
201,CVE-2004-0238
202,CVE-2004-0239
203,CVE-2004-0240
204,CVE-2004-0241
205,CVE-2004-0242
206,CVE-2004-0243
207,CVE-2004-0244
208,CVE-2004-0245
209,CVE-2004-0246
210,CVE-2004-0247
211,CVE-2004-0248
212,CVE-2004-0249
213,CVE-2004-0250
214,CVE-2004-0251
215,CVE-2004-0252
216,CVE-2004-0253
217,CVE-2004-0254
218,CVE-2004-0255
219,CVE-2004-0256
220,CVE-2004-0257
221,CVE-2004-0258
222,CVE-2004-0259
223,CVE-2004-0260
224,CVE-2004-0261
225,CVE-2004-0262
226,CVE-2004-0263
227,CVE-2004-0264
228,CVE-2004-0265
229,CVE-2004-0266
230,CVE-2004-0267
231,CVE-2004-0268
232,CVE-2004-0269
233,CVE-2004-0270
234,CVE-2004-0271
235,CVE-2004-0272
236,CVE-2004-0273
237,CVE-2004-0274
238,CVE-2004-0275
239,CVE-2004-0276
240,CVE-2004-0277
241,CVE-2004-0278
242,CVE-2004-0279
243,CVE-2004-0280
244,CVE-2004-0281
245,CVE-2004-0282
246,CVE-2004-0283
247,CVE-2004-0284
248,CVE-2004-0285
249,CVE-2004-0286
250,CVE-2004-0287
251,CVE-2004-0288
252,CVE-2004-0289
