package,version,architecture
0ad-data-common,0.0.25b,all
0ad-data,0.0.25b,all
0ad,0.0.25b,amd64
0install-core,2.16,amd64
0install,2.16,amd64
0xffff,0.9,amd64
1oom,1.0,amd64
2048-qt,0.1.6,amd64
2048,0.20210105.1243,amd64
2ping,4.5,all
2to3,3.10.6,all
2vcard,0.6,all
3270-common,4.1ga10,amd64
389-ds-base-dev,2.0.15,amd64
389-ds-base-libs,2.0.15,amd64
389-ds-base,2.0.15,amd64
389-ds,2.0.15,all
3dchess,0.8.1,amd64
4g8,1.0,amd64
4pane,7.0,amd64
4ti2-doc,1.6.9,all
4ti2,1.6.9,amd64
64tass,1.56.2625,amd64
6tunnel,0.13,amd64
7kaa-data,2.15.4,all
7kaa,2.15.4,amd64
7zip,21.07,amd64
9base,6,amd64
9menu,1.10,amd64
9mount,1.3,amd64
9wm,1.4.1,amd64
a11y-profile-manager-doc,0.1.11,all
a11y-profile-manager-indicator,0.1.11,amd64
a11y-profile-manager,0.1.11,amd64
a2jmidid,9,amd64
a2ps,4.14,amd64
a56,1.3,amd64
a7xpg-data,0.11.dfsg1,all
a7xpg,0.11.dfsg1,amd64
aa3d,1.0,amd64
aac-enc,2.0.2,amd64
aaphoto,0.45,amd64
aapt,10.0.0,amd64
aasvg,0.1.8,all
abacas-examples,1.3.1,all
abacas,1.3.1,all
abcde,2.9.3,all
abcl,1.8.0,all
abcm2ps,8.14.11,amd64
abcmidi,20220218,amd64
abe-data,1.1,all
abe,1.1,amd64
abgate,1.2.0,amd64
abi-compliance-checker,2.3,all
abi-dumper,1.2,all
abi-monitor,1.12,all
abi-tracker,1.11,all
abicheck,1.2,all
abigail-doc,2.0,all
abigail-tools,2.0,amd64
abinit-data,9.6.2,all
abinit-doc,9.6.2,all
abinit,9.6.2,amd64
abisip-find,1.6.1,amd64
abiword-common,3.0.5~dfsg,all
abiword-plugin-grammar,3.0.5~dfsg,amd64
abiword,3.0.5~dfsg,amd64
ableton-link-dev,3.0.3,all
ableton-link-utils,3.0.3,amd64
abntex,0.9~beta2,all
abook,0.6.1,amd64
abootimg,0.6,amd64
abr2gbr,1.0.2,amd64
abs-guide,10,all
abw2epub,0.9.6,amd64
abw2odt,0.9.6,amd64
abx,0.0~b1,amd64
abyss,2.3.1,amd64
accerciser,3.38.0,all
accounts-qml-module-doc,0.6,all
accountsservice-ubuntu-schemas,0.0.7,all
accountsservice-ubuntu-touch-schemas,0.0.7,all
accountsservice,22.07.5,amd64
accountwizard,21.12.3,amd64
acct,6.6.4,amd64
ace-gperf,7.0.6,amd64
ace-netsvcs,7.0.6,amd64
ace-of-penguins,1.5~rc2,amd64
ace,0.0.5,amd64
acedb-other-belvu,4.9.39,all
acedb-other-dotter,4.9.39,all
acedb-other,4.9.39,amd64
aces3-data,3.0.8,all
aces3,3.0.8,amd64
acetoneiso,2.4,amd64
acheck-rules,0.3.5,all
acheck,0.5.9,all
achilles,2,amd64
ack,3.5.0,all
acl2-books-certs,8.4dfsg,all
acl2-books-source,8.4dfsg,all
acl2-books,8.4dfsg,amd64
acl2-doc,8.4dfsg,all
acl2-infix-source,8.4dfsg,all
acl2-infix,8.4dfsg,amd64
acl2-source,8.4dfsg,all
acl2,8.4dfsg,amd64
acl,2.3.1,amd64
acl,2.3.1,i386
aclock.app,0.4.0,amd64
acm,6.0,amd64
acme-tiny,5.0.1,all
acme,0.97,amd64
acmetool,0.2.1,amd64
aconnectgui,0.9.0rc2,amd64
acorn-fdisk,3.0.6,amd64
acpi-call-dkms,1.2.2,all
